17446 (20609.34, 108.5825, 19908, 21205)
17506 (20604.43, 108.1591, 20036, 20965)
17566 (20603.6, 103.209, 20180, 21045)
17626 (20599.68, 100.0288, 20196, 21061)
17687 (20604.09, 101.95, 20148, 21013)
17747 (20609.78, 103.5738, 19972, 20949)
17807 (20612.44, 89.35597, 20180, 20933)
17867 (20606.14, 105.1625, 20052, 21157)
17927 (20615.14, 93.7169, 20180, 21173)
17987 (20620.61, 111.6054, 19764, 21301)
18047 (20624.74, 103.6581, 20180, 21205)
18108 (20617.76, 113.3604, 19844, 21253)
18168 (20622.63, 103.5742, 20116, 21173)
18228 (20631.57, 112.7754, 19764, 21045)
18288 (20633.56, 107.6209, 20180, 21061)
18348 (20640.38, 108.5956, 19940, 21141)
18408 (20641.04, 100.5274, 20164, 21029)
18469 (20641.89, 108.6096, 20180, 21365)
18529 (20649.33, 101.306, 20164, 20997)
18589 (20657.28, 99.97421, 20068, 21109)
18649 (20639.9, 98.83984, 20100, 21173)
18709 (20642.67, 113.0085, 20036, 21157)
18769 (20635.45, 102.4251, 20068, 21189)
18830 (20633.83, 109.7776, 20116, 21221)
18890 (20628.96, 93.29786, 20180, 20917)
18950 (20629.86, 100.1927, 20148, 21221)
19010 (20637.71, 107.8305, 20180, 21669)
19070 (20629.3, 99.17366, 20100, 20949)
19130 (20624.02, 97.57476, 19940, 21093)
19190 (20635.29, 90.74847, 20196, 21045)
19251 (20629.47, 107.3436, 20036, 21061)
19311 (20633.16, 102.2457, 19812, 20965)
19371 (20620.88, 113.3095, 20004, 21253)
19431 (20631.85, 101.1169, 20068, 20997)
19491 (20634.77, 107.1299, 19924, 21029)
19551 (20634.36, 90.18145, 19924, 20885)
19612 (20635.74, 96.97753, 20100, 20917)
19672 (20635.75, 106.197, 19732, 21045)
19732 (20636.31, 106.5174, 20116, 21189)
19792 (20638.57, 99.78905, 20020, 21077)
19852 (20634.12, 104.0176, 20116, 21013)
19912 (20632.31, 113.6785, 19604, 20997)
19973 (20637.09, 102.3783, 20244, 21093)
20033 (20632.43, 102.5641, 20164, 20949)
20093 (20632.27, 101.9563, 20164, 20981)
20153 (20649.55, 100.711, 20196, 21141)
20213 (20640.66, 104.3171, 20196, 21157)
20273 (20639.86, 101.5922, 19732, 21045)
20333 (20641.17, 121.0245, 19860, 21413)
20394 (20644.97, 103.8448, 20180, 21013)
20454 (20648.33, 110.7658, 20164, 21317)
20514 (20643.1, 108.4348, 20116, 21029)
20574 (20645.43, 100.8998, 20212, 21125)
20634 (20646.93, 106.1577, 20100, 21365)
20694 (20639.87, 107.2596, 20068, 21189)
20755 (20641.58, 98.21923, 20228, 21237)
20815 (20649.42, 94.93729, 20180, 21221)
20875 (20650.13, 95.9219, 20228, 20933)
20935 (20661.15, 104.3819, 19684, 21317)
20995 (20665.47, 110.8748, 20036, 21349)
21055 (20668.43, 100.7849, 20148, 21061)
21116 (20672.09, 102.4685, 20212, 21125)
21176 (20671.71, 109.312, 20100, 21141)
21236 (20679.28, 104.6817, 20148, 21221)
21296 (20681.02, 102.3338, 20116, 20997)
21356 (20688.64, 98.02972, 20228, 21077)
21416 (20693.52, 104.4498, 20100, 21125)
21476 (20695.32, 100.7053, 20100, 21221)
21537 (20704.41, 94.57489, 20100, 21413)
21597 (20699.78, 102.2895, 20068, 21253)
21657 (20694.93, 88.49147, 20292, 21061)
21717 (20687.96, 106.8492, 20260, 21317)
21777 (20687.71, 99.89365, 20116, 21381)
21837 (20683.33, 97.28072, 20084, 21093)
21898 (20676.14, 97.911, 20212, 21109)
21958 (20671.9, 102.3824, 20228, 21141)
22018 (20676.72, 102.0898, 20212, 21349)
22078 (20682.63, 96.85388, 20244, 21141)
22138 (20680.7, 101.7457, 20244, 21349)
22198 (20678.24, 109.6288, 20004, 21333)
22259 (20684.05, 96.14732, 19988, 21253)
22319 (20680.88, 107.5279, 20276, 21333)
22379 (20675.75, 105.7136, 20036, 21061)
22439 (20677.28, 105.5063, 19892, 21253)
22499 (20681.96, 101.2292, 20180, 21301)
